problem,seed,Default_time,Default_nodes,DF-Probing_time,DF-Probing_nodes,GDF_time,GDF_nodes,All_time,All_nodes
neos-3046615-murg,1,7200,10333080,7200,10383702,7200,9864861,7200,10137188
neos-3046615-murg,2,7200,11301066,7200,11248232,7200,11538618,7200,11512380
neos-3046615-murg,3,7200,10355809,7200,10212715,7200,10834397,7200,10416299
neos-3046615-murg,4,7200,11128196,7200,11003669,7200,11105743,7200,11125226
neos-3046615-murg,5,7200,8582046,7200,8752776,7200,11057140,7200,11156538
neos-3083819-nubu,1,17.47,1669,17.43,1669,17.52,1669,17.58,1669
neos-3083819-nubu,2,33.07,4560,33.16,4560,32.78,4560,33.19,4560
neos-3083819-nubu,3,35.79,5053,36.72,5053,35.92,5053,36.14,5053
neos-3083819-nubu,4,8.21,135,8.19,135,8.23,135,8.23,135
neos-3083819-nubu,5,31.83,3705,31.93,3705,31.86,3705,31.7,3705
neos-3216931-puriri,1,264.94,218,409.36,736,264.59,218,412.2,736
neos-3216931-puriri,2,119.38,1,693.19,932,119.17,1,698.03,932
neos-3216931-puriri,3,843.94,1002,371.38,677,847.75,1002,370.76,677
neos-3216931-puriri,4,372.85,790,1315.43,2693,375.07,790,1320.86,2693
neos-3216931-puriri,5,341.53,936,975.6,1441,342.17,936,979.04,1441
neos-3381206-awhea,1,2.55,1,2.55,1,2.65,1,2.55,1
neos-3381206-awhea,2,0.88,1,0.88,1,0.88,1,0.88,1
neos-3381206-awhea,3,8.32,631,8.32,631,8.69,631,8.59,631
neos-3381206-awhea,4,1.87,1,1.87,1,1.86,1,1.89,1
neos-3381206-awhea,5,0.88,1,0.88,1,0.88,1,0.88,1
neos-3402294-bobin,1,182.38,507,181.37,507,180.86,507,177.29,507
neos-3402294-bobin,2,115.16,278,115.03,278,115.31,278,116.53,278
neos-3402294-bobin,3,159.73,503,155.98,503,153.46,503,155.69,503
neos-3402294-bobin,4,76.75,121,73.92,121,73.77,121,74.03,121
neos-3402294-bobin,5,90.07,231,88.36,231,90.1,231,90.4,231
neos-3402454-bohle,1,7200,11,7200,11,7200,11,7200,12
neos-3402454-bohle,2,7200,9,7200,9,7200,9,7200,9
neos-3402454-bohle,3,7200,14,7200,10,7200,10,7200,14
neos-3402454-bohle,4,7200,9,7200,9,7200,9,7200,9
neos-3402454-bohle,5,7200,117,7200,117,7200,117,7200,117
neos-3555904-turama,1,7200,1536,7200,1536,7200,1536,7200,1536
neos-3555904-turama,2,7200,2098,7200,2077,7200,2077,7200,2075
neos-3555904-turama,3,7200,937,7200,942,7200,938,7200,944
neos-3555904-turama,4,7200,2061,7200,2061,7200,2061,7200,2061
neos-3555904-turama,5,7200,631,7200,631,7200,631,7200,631
neos-3627168-kasai,1,68.62,9798,68.09,9798,67.23,9798,68.65,9798
neos-3627168-kasai,2,117.8,19755,119.11,19755,117.95,19755,117.59,19755
neos-3627168-kasai,3,90.04,11666,89.49,11666,90.17,11666,90.5,11666
neos-3627168-kasai,4,67.15,8529,66.51,8529,68.32,8529,67.33,8529
neos-3627168-kasai,5,81.99,12451,82.19,12451,82.07,12451,82.69,12451
neos-3656078-kumeu,1,7200,880,7200,413,7200,880,7200,413
neos-3656078-kumeu,2,7200,437,7200,864,7200,760,7200,864
neos-3656078-kumeu,3,7200,271,7200,1724,7200,209,7200,1795
neos-3656078-kumeu,4,7200,2095,7200,192,7200,2316,7200,192
neos-3656078-kumeu,5,7200,787,7200,966,7200,787,7200,966
neos-3754480-nidda,1,7200,5401495,7200,5333528,7200,5374360,7200,5340596
neos-3754480-nidda,2,7200,5266907,7200,5290198,7200,5280273,7200,5349711
neos-3754480-nidda,3,7200,5187986,7200,5186609,7200,5188381,7200,5175914
neos-3754480-nidda,4,7200,5448596,7200,5448789,7200,5509006,7200,5440452
neos-3754480-nidda,5,7200,5257301,7200,5127600,7200,5241708,7200,5248089
neos-3988577-wolgan,1,898.91,1,918.54,1,890.76,1,903.73,1
neos-3988577-wolgan,2,792.28,1,789.56,1,766.18,1,775.81,1
neos-3988577-wolgan,3,865.03,1,866.39,1,865,1,883.35,1
neos-3988577-wolgan,4,969.49,1,1080.91,1,973.91,1,987.84,1
neos-3988577-wolgan,5,929.65,1,958.38,1,955.66,1,930.69,1
neos-4300652-rahue,1,7200,6525,7200,6474,7200,6204,7200,6196
neos-4300652-rahue,2,7200,7269,7200,7541,7200,7069,7200,7916
neos-4300652-rahue,3,7200,8583,7200,8292,7200,7872,7200,7241
neos-4300652-rahue,4,7200,8200,7200,6314,7200,8303,7200,6342
neos-4300652-rahue,5,7200,7723,7200,7900,7200,8172,7200,8196
neos-4338804-snowy,1,7200,1588422,7200,1599812,7200,1686507,7200,1633977
neos-4338804-snowy,2,7200,1574079,7200,1574815,7200,1678549,7200,1670065
neos-4338804-snowy,3,7200,1596270,7200,1649334,7200,1504196,7200,1565513
neos-4338804-snowy,4,7200,1952838,7200,1979787,7200,1644670,7200,1671458
neos-4338804-snowy,5,7200,1602228,7200,1619375,7200,1603304,7200,1599205
neos-4387871-tavua,1,7200,30143,7200,28353,7200,30343,7200,28739
neos-4387871-tavua,2,7200,26703,7200,27566,7200,26770,7200,27584
neos-4387871-tavua,3,7200,14496,7200,18747,7200,14723,7200,19008
neos-4387871-tavua,4,7200,13249,7200,14233,7200,13203,7200,14565
neos-4387871-tavua,5,7200,23750,7200,24819,7200,23523,7200,24825
neos-4413714-turia,1,38.32,1,37.15,1,39.3,1,38.7,1
neos-4413714-turia,2,168.83,1,172.46,1,167.83,1,171.4,1
neos-4413714-turia,3,35.79,1,37.18,1,37.12,1,36.88,1
neos-4413714-turia,4,149.96,1,151.31,1,146.87,1,146.58,1
neos-4413714-turia,5,156.85,1,160.12,1,158.89,1,161.23,1
neos-4532248-waihi,1,7200,0,7200,0,7200,0,7200,0
neos-4532248-waihi,2,7200,532,7200,532,7200,509,7200,532
neos-4532248-waihi,3,7200,0,7200,0,7200,0,7200,0
neos-4532248-waihi,4,7200,339,7200,335,7200,338,7200,339
neos-4532248-waihi,5,7200,304,7200,304,7200,368,7200,304
neos-4647030-tutaki,1,7200,6687,7200,6517,7200,6585,7200,6687
neos-4647030-tutaki,2,7200,752,7200,752,7200,752,7200,752
neos-4647030-tutaki,3,7200,3722,7200,3722,7200,3722,7200,3621
neos-4647030-tutaki,4,7200,9027,7200,9027,7200,9027,7200,9227
neos-4647030-tutaki,5,7200,558,7200,558,7200,558,7200,558
neos-4722843-widden,1,188.62,746,246.74,1057,246.09,1043,242.08,1057
neos-4722843-widden,2,304.77,983,561.18,4266,284.54,1857,562.53,4266
neos-4722843-widden,3,249.37,1099,867.39,4264,227.05,1161,909.81,4264
neos-4722843-widden,4,248.03,1522,302.51,2033,317.59,2247,309.31,2033
neos-4722843-widden,5,222.82,962,291.32,1840,248.81,1449,293.47,1840
neos-4738912-atrato,1,617.77,34031,615.66,34031,623.37,31503,578.65,31503
neos-4738912-atrato,2,652.84,40639,639.1,40639,723.99,39621,700.53,39621
neos-4738912-atrato,3,513.27,32294,515.27,32294,523.65,32294,502.44,32294
neos-4738912-atrato,4,482.7,23267,477.17,23267,517.7,23267,516.43,23267
neos-4738912-atrato,5,448.48,23968,441.64,23968,447.3,23968,444.26,23968
neos-4763324-toguru,1,7200,12367,7200,12144,7200,11973,7200,12055
neos-4763324-toguru,2,7200,11244,7200,11129,7200,11196,7200,11363
neos-4763324-toguru,3,7200,12343,7200,12083,7200,12461,7200,12020
neos-4763324-toguru,4,7200,13419,7200,13037,7200,13888,7200,12867
neos-4763324-toguru,5,7200,12120,7200,12666,7200,12634,7200,13103
neos-4954672-berkel,1,7200,637326,7200,637478,7200,637966,7200,633430
neos-4954672-berkel,2,7200,689030,7200,685826,7200,682406,7200,686056
neos-4954672-berkel,3,7200,593221,7200,591609,7200,592964,7200,593598
neos-4954672-berkel,4,7200,736299,7200,739497,7200,744759,7200,732022
neos-4954672-berkel,5,7200,740873,7200,746899,7200,744601,7200,740345
neos-5049753-cuanza,1,7200,99,7200,99,7200,99,7200,99
neos-5049753-cuanza,2,7200,105,7200,104,7200,105,7200,105
neos-5049753-cuanza,3,7200,218,7200,215,7200,218,7200,218
neos-5049753-cuanza,4,7200,114,7200,115,7200,114,7200,114
neos-5049753-cuanza,5,7200,75,7200,75,7200,75,7200,75
neos-5052403-cygnet,1,7200,130,7200,159,7200,119,7200,162
neos-5052403-cygnet,2,7200,142,7200,95,7200,129,7200,94
neos-5052403-cygnet,3,7200,94,7200,32,7200,101,7200,32
neos-5052403-cygnet,4,7200,196,7200,200,7200,183,7200,196
neos-5052403-cygnet,5,7200,199,7200,116,7200,189,7200,116
neos-5093327-huahum,1,7200,23802,7200,23817,7200,23921,7200,23591
neos-5093327-huahum,2,7200,24697,7200,24697,7200,24697,7200,24830
neos-5093327-huahum,3,7200,21889,7200,21688,7200,21870,7200,21900
neos-5093327-huahum,4,7200,25581,7200,25510,7200,25509,7200,25958
neos-5093327-huahum,5,7200,22981,7200,22556,7200,23447,7200,22930
neos-5104907-jarama,1,7200,0,7200,0,7200,0,7200,0
neos-5104907-jarama,2,7200,0,7200,0,7200,0,7200,0
neos-5104907-jarama,3,7200,0,7200,0,7200,0,7200,0
neos-5104907-jarama,4,7200,0,7200,0,7200,0,7200,0
neos-5104907-jarama,5,7200,0,7200,0,7200,0,7200,0
neos-5107597-kakapo,1,7200,443598,7200,445149,7200,440315,7200,444375
neos-5107597-kakapo,2,6855.27,407236,6975.18,407236,7200,449854,7200,464812
neos-5107597-kakapo,3,7200,325437,7200,322310,7200,433726,7200,434173
neos-5107597-kakapo,4,7200,619801,7200,614920,7200,436322,7200,443101
neos-5107597-kakapo,5,6612.26,375842,6554.05,375842,7200,392664,7200,392549
neos-5114902-kasavu,1,7200,0,7200,0,7200,0,7200,0
neos-5114902-kasavu,2,7200,0,7200,0,7200,0,7200,0
neos-5114902-kasavu,3,7200,0,7200,0,7200,0,7200,0
neos-5114902-kasavu,4,7200,0,7200,0,7200,0,7200,0
neos-5114902-kasavu,5,7200,0,7200,0,7200,0,7200,0
neos-5188808-nattai,1,7200,16746,7200,16840,7200,16133,7200,16155
neos-5188808-nattai,2,7200,16479,7200,16468,7200,16467,7200,16389
neos-5188808-nattai,3,7200,15637,7200,15836,7200,15714,7200,15676
neos-5188808-nattai,4,5270.8,10781,5326.59,10781,5236.86,10781,5335.7,10781
neos-5188808-nattai,5,7200,13010,7200,13083,7200,12665,7200,12686
neos-5195221-niemur,1,7200,20492,7200,20524,7200,20567,7200,20527
neos-5195221-niemur,2,7200,16593,7200,16593,7200,16623,7200,16544
neos-5195221-niemur,3,7200,15450,7200,15663,7200,15584,7200,15593
neos-5195221-niemur,4,7200,8306,7200,8263,7200,8276,7200,8355
neos-5195221-niemur,5,7200,14207,7200,14382,7200,14203,7200,14204
neos-631710,1,7200,0,7200,0,7200,0,7200,0
neos-631710,2,7200,0,7200,0,7200,0,7200,0
neos-631710,3,5255.71,182,5439.8,182,5313.57,182,5810.17,182
neos-631710,4,7200,0,7200,0,7200,0,7200,0
neos-631710,5,7200,266,7200,258,7200,288,7200,265
neos-662469,1,3786.31,29356,2528.95,17895,3777.31,29356,2519.73,17895
neos-662469,2,2247.53,12544,3327.17,23146,2206.7,12544,3316.11,23146
neos-662469,3,1656.54,11928,3328.01,22880,1681.18,11928,3314.41,22880
neos-662469,4,1902.52,10947,2867.41,20933,1923.71,10947,2871.6,20933
neos-662469,5,1373.36,7354,1222.33,6702,1386.7,7354,1201.12,6702
neos-787933,1,346.39,717,46.59,1,342.18,717,47.55,1
neos-787933,2,589.88,1392,48.48,1,597.32,1392,47.25,1
neos-787933,3,1314.2,3836,45.2,1,1361.23,3836,41.45,1
neos-787933,4,1000.29,4856,47.92,1,1036.83,4856,45.87,1
neos-787933,5,659.42,1160,42.81,1,658.44,1160,47.71,1
neos-827175,1,5.45,1,5.51,1,5.49,1,5.49,1
neos-827175,2,6.78,1,6.82,1,6.78,1,6.98,1
neos-827175,3,5.36,1,5.42,1,5.45,1,5.43,1
neos-827175,4,7.11,1,7.09,1,7.05,1,7.14,1
neos-827175,5,4.21,1,4.1,1,4.18,1,4.15,1
neos-848589,1,663.39,23,661.54,23,666.1,23,697,23
neos-848589,2,857.36,30,881.46,30,869.41,30,884.62,30
neos-848589,3,5685.71,2510,5665.93,2514,5378.06,2510,5373.67,2514
neos-848589,4,7200,1463,7200,1491,7200,1483,7200,1498
neos-848589,5,939.45,41,1008.14,41,1011.84,41,1004.08,41
neos-860300,1,24.76,1,25.52,1,25.07,1,25.65,1
neos-860300,2,16.24,1,16.86,1,16.41,1,16.92,1
neos-860300,3,14.4,1,14.99,1,14.54,1,15.11,1
neos-860300,4,14.21,1,14.89,1,14.54,1,14.92,1
neos-860300,5,16.29,1,17.47,1,16.55,1,17.41,1
neos-873061,1,385.3,6874,675.74,11225,385.83,6874,672.19,11225
neos-873061,2,806.38,8987,1492.46,12630,810.1,8987,1482.76,12630
neos-873061,3,1025.72,10026,1034,15481,959.92,10026,1045.22,15481
neos-873061,4,1528.15,19890,1183.48,14022,1531.32,19890,1181.91,14022
neos-873061,5,924.82,18111,1039.06,15839,929.55,18111,1039.82,15839
neos-911970,1,14.85,2447,14.8,2447,14.82,2447,14.8,2447
neos-911970,2,19.67,4213,19.67,4213,19.7,4213,19.85,4213
neos-911970,3,7.64,409,7.55,409,7.66,409,7.73,409
neos-911970,4,10.05,696,10.09,696,10.07,696,10.22,696
neos-911970,5,11.1,1563,11.23,1563,11.29,1563,11.2,1563
neos-933966,1,396.01,299,396.65,299,396.87,299,397.43,299
neos-933966,2,29.21,1,29.24,1,29.18,1,28.93,1
neos-933966,3,31.65,1,31.39,1,31.4,1,31.16,1
neos-933966,4,201.28,106,199.27,106,200.77,106,199.02,106
neos-933966,5,64.07,1,63.48,1,64.07,1,63.59,1
neos-950242,1,21.46,1,21.45,1,21.82,1,21.73,1
neos-950242,2,43.98,10,43.03,10,43.42,10,43.93,10
neos-950242,3,28.1,8,27.76,8,27.47,8,27.44,8
neos-950242,4,31.26,1,31.03,1,30.52,1,31.2,1
neos-950242,5,34.51,1,34.26,1,35.28,1,34.27,1
neos-957323,1,108.13,3,109.47,3,110.76,3,110.75,3
neos-957323,2,129.12,3,125.3,3,129.78,3,130.02,3
neos-957323,3,319.32,3,327.22,3,306.08,3,321.23,3
neos-957323,4,186.09,6,192.9,6,193.82,6,190.46,6
neos-957323,5,142.52,3,145.47,3,142.99,3,142.23,3
neos-960392,1,17.98,1,18.67,1,17.81,1,18.61,1
neos-960392,2,12.73,1,12.98,1,13.22,1,12.92,1
neos-960392,3,23.46,1,23.59,1,23.56,1,23.3,1
neos-960392,4,19.28,1,19.37,1,20.15,1,19.32,1
neos-960392,5,30.63,1,31.22,1,31.79,1,29.89,1
neos17,1,10.34,1423,10.42,1423,10.39,1423,11.4,1423
neos17,2,10.94,2426,10.95,2426,10.97,2426,10.98,2426
neos17,3,8.95,1214,8.95,1214,8.99,1214,8.93,1214
neos17,4,11.31,1709,11.32,1709,11.04,1709,11.04,1709
neos17,5,6.28,681,6.3,681,6.3,681,6.32,681
neos5,1,187.78,263160,186.25,263160,190.77,263160,189.73,263160
neos5,2,126.67,176881,126.52,176881,127.56,176881,128.06,176881
neos5,3,94.52,142200,95.22,142200,95.03,142200,94.04,142200
neos5,4,106.58,154039,105.87,154039,105.64,154039,105.84,154039
neos5,5,157.77,218112,156.43,218112,156.21,218112,156.06,218112
neos8,1,4.83,1,4.99,1,4.87,1,4.99,1
neos8,2,4.83,1,5.12,1,5.2,1,5.15,1
neos8,3,4.79,1,4.97,1,4.39,1,4.83,1
neos8,4,4.73,1,4.92,1,5.12,1,5.31,1
neos8,5,5.05,1,5.42,1,5.26,1,5.23,1
neos859080,1,5.03,7094,5.05,7094,5.08,7094,5.05,7094
neos859080,2,2,2718,2.01,2718,2.01,2718,2.01,2718
neos859080,3,16.73,4235,15.92,4235,17.98,4235,18.27,4235
neos859080,4,6.51,1797,6.99,1797,6.36,1797,6.32,1797
neos859080,5,2.72,2022,2.68,2022,2.67,2022,2.65,2022
net12,1,345.01,980,756.55,1832,344.29,980,758.21,1832
net12,2,663.83,968,410.91,1296,665.41,968,408.74,1296
net12,3,954.75,2609,327.38,1034,970.51,2609,336.67,1034
net12,4,2035.77,5167,334.99,1072,2036.64,5167,330.73,1072
net12,5,945.52,2667,565.97,2501,933.81,2667,571.42,2501
netdiversion,1,1528.56,7,1492.86,29,1536.74,7,1510.59,29
netdiversion,2,544.04,1,1243.64,1,549.79,1,1227.45,1
netdiversion,3,597.29,1,538.04,1,596.29,1,528.63,1
netdiversion,4,1260.12,1,725.47,1,1275.69,1,737.62,1
netdiversion,5,882.49,10,971.45,10,855.27,10,962.77,10
nexp-150-20-8-5,1,1103.74,2086,1098.81,2086,1109.86,2086,1101.5,2086
nexp-150-20-8-5,2,278.01,755,219.64,48,244.79,755,226.41,48
nexp-150-20-8-5,3,1497.8,5554,1590.53,5630,1626.34,5554,1566.12,5630
nexp-150-20-8-5,4,1260.8,2447,1296.3,2447,1241.12,2447,1231.39,2447
nexp-150-20-8-5,5,837.49,819,807.63,819,829.11,819,817.4,819
ns1116954,1,94.59,1,93.37,1,93.91,1,92.11,1
ns1116954,2,4735.34,328,4703.2,328,4720.99,328,4535.86,328
ns1116954,3,4507.01,212,4504.49,212,4488.63,212,4118.78,212
ns1116954,4,200.5,1,201.16,1,210.62,1,205.31,1
ns1116954,5,138.27,1,143.84,1,137.65,1,128.32,1
ns1208400,1,129.15,808,129.9,808,129.51,808,129.97,808
ns1208400,2,86.99,457,87.27,457,87.94,457,86.81,457
ns1208400,3,101.8,1166,101.01,1166,101.08,1166,101.85,1166
ns1208400,4,80.85,639,81.38,639,81.32,639,81.23,639
ns1208400,5,142.98,1209,141.82,1209,143.26,1209,139.18,1209
ns1644855,1,2637.81,52,2601.09,52,2616.43,52,2543,52
ns1644855,2,1369.34,1,1382.26,1,1368.89,1,1416.52,1
ns1644855,3,1196.57,1,1308.43,1,1138.69,1,1215.21,1
ns1644855,4,1086.08,1,1082.59,1,1128.7,1,1129.87,1
ns1644855,5,1022.81,1,1017.53,1,964.52,1,1057.77,1
ns1760995,1,7200,0,7200,0,7200,0,7200,0
ns1760995,2,7200,0,7200,0,7200,0,7200,0
ns1760995,3,7200,102,7200,0,7200,2,7200,0
ns1760995,4,7200,0,7200,0,7200,0,7200,2
ns1760995,5,7200,2,7200,0,7200,359,7200,2
ns1830653,1,287.77,12364,415.48,17466,292.47,12364,417.01,17466
ns1830653,2,252.19,8151,237.01,7520,248.8,8151,242.64,7520
ns1830653,3,269.9,9581,281.85,10186,271.04,9581,277,10186
ns1830653,4,327.47,15811,428.38,16966,326.54,15811,426.33,16966
ns1830653,5,345.75,13019,369.34,16318,342.96,13019,370.72,16318
ns1952667,1,3806.53,14627,3746.17,14627,3774.38,14627,3785.04,14627
ns1952667,2,7200,24389,7200,24389,7200,24389,7200,24389
ns1952667,3,3977.14,14591,3966.78,14591,3916.92,14591,3973.01,14591
ns1952667,4,5096.35,16529,5106.61,16529,5064.54,16529,5072.43,16529
ns1952667,5,6297.55,21353,6295.75,21353,6307,21353,6276.07,21353
nu25-pr12,1,6.69,7,6.71,7,6.77,7,6.79,7
nu25-pr12,2,5.22,22,5.12,22,5.2,22,5.2,22
nu25-pr12,3,8.41,29,8.43,29,8.47,29,8.51,29
nu25-pr12,4,7.63,15,7.64,15,7.59,15,7.58,15
nu25-pr12,5,7.4,34,7.49,34,7.41,34,7.48,34
nursesched-medium-hint03,1,7200,3017,7200,3109,7200,3133,7200,2985
nursesched-medium-hint03,2,7200,2435,7200,2723,7200,2581,7200,2745
nursesched-medium-hint03,3,7200,2399,7200,2708,7200,2423,7200,2626
nursesched-medium-hint03,4,7200,3181,7200,3325,7200,3122,7200,3526
nursesched-medium-hint03,5,7200,2873,7200,3014,7200,2773,7200,2773
nursesched-sprint02,1,21.22,1,20.9,1,21.1,1,20.99,1
nursesched-sprint02,2,21.37,1,21.61,1,21.31,1,21.65,1
nursesched-sprint02,3,23.85,1,23.83,1,23.78,1,23.73,1
nursesched-sprint02,4,21.23,1,21.52,1,21.62,1,21.86,1
nursesched-sprint02,5,26.28,1,25.96,1,25.97,1,26.14,1
nw04,1,63.22,1,61.92,1,63.46,1,63.52,1
nw04,2,120.84,1,121.65,1,121.41,1,121.3,1
nw04,3,60.11,1,59.81,1,60.37,1,61.01,1
nw04,4,78.46,1,79.04,1,77.59,1,79.55,1
nw04,5,49.79,1,50.69,1,50.6,1,51.02,1
opm2-z10-s4,1,7200,2152,7200,2142,7200,2151,7200,2152
opm2-z10-s4,2,7200,740,7200,766,7200,762,7200,762
opm2-z10-s4,3,7200,1326,7200,1176,7200,1386,7200,1146
opm2-z10-s4,4,7200,754,7200,729,7200,726,7200,751
opm2-z10-s4,5,7200,1677,7200,1670,7200,1682,7200,1680
p200x1188c,1,0.83,1,0.82,1,0.82,1,0.82,1
p200x1188c,2,0.8,1,0.79,0,0.79,1,0.78,0
p200x1188c,3,0.91,1,0.8,1,0.89,1,0.79,1
p200x1188c,4,0.94,1,0.86,1,0.95,1,0.86,1
p200x1188c,5,0.99,1,0.89,1,0.97,1,0.89,1
peg-solitaire-a3,1,7200,14590,7200,14574,7200,14435,7200,14604
peg-solitaire-a3,2,7200,14601,7200,14557,7200,14541,7200,14571
peg-solitaire-a3,3,7200,15380,7200,15352,7200,15339,7200,15388
peg-solitaire-a3,4,7200,15397,7200,15421,7200,15397,7200,15326
peg-solitaire-a3,5,7200,14897,7200,14964,7200,14999,7200,15001
pg,1,6.66,78,6.74,78,6.71,78,6.7,78
pg,2,6.27,61,6.36,61,6.31,61,6.27,61
pg,3,6.42,55,6.45,55,6.44,55,6.43,55
pg,4,14.48,286,14.46,286,14.38,286,14.49,286
pg,5,12.79,258,12.58,258,12.76,258,12.46,258
pg5_34,1,366.68,23272,369.21,23272,365.97,23272,372.42,23272
pg5_34,2,336.02,16975,333.72,16975,327.9,16975,338.43,16975
pg5_34,3,307.37,19267,316.52,19267,319.48,19267,312.75,19267
pg5_34,4,398.45,23991,398.21,23991,394.83,23991,397.86,23991
pg5_34,5,493.11,29268,475.39,29268,494.14,29268,499.83,29268
physiciansched3-3,1,7200,1365,7200,1440,7200,1320,7200,1440
physiciansched3-3,2,7200,1586,7200,1571,7200,1722,7200,1513
physiciansched3-3,3,7200,1419,7200,1535,7200,1714,7200,1523
physiciansched3-3,4,7200,1682,7200,1623,7200,1750,7200,1623
physiciansched3-3,5,7200,1490,7200,1761,7200,1771,7200,1543
physiciansched6-2,1,14.84,1,14.45,1,14.89,1,14.33,1
physiciansched6-2,2,13.52,1,12.16,1,13.67,1,12.14,1
physiciansched6-2,3,12.93,1,12.59,1,13.04,1,12.53,1
physiciansched6-2,4,13.28,1,12.39,1,13.25,1,12.41,1
physiciansched6-2,5,13.42,1,12.46,1,13.7,1,12.67,1
piperout-08,1,28.17,1,30.98,1,31.18,1,34.91,1
piperout-08,2,30.04,1,31.84,1,32.83,1,30.5,1
piperout-08,3,31.19,1,30.64,1,30.21,1,32.34,1
piperout-08,4,32.56,1,29.7,1,30.62,1,30.47,1
piperout-08,5,24.11,1,34.59,1,24.77,1,34.25,1
piperout-27,1,43.67,1,46.69,1,44,1,47.39,1
piperout-27,2,45.94,1,48.85,1,51.19,1,52.62,1
piperout-27,3,46.38,1,42.49,1,48.81,1,43.97,1
piperout-27,4,45.88,1,50.41,1,49.26,1,49.87,1
piperout-27,5,44.17,1,41.81,1,42.45,1,50.98,1
pk1,1,412.64,576983,408.74,576983,403.39,576983,412.76,576983
pk1,2,262.88,354488,263.73,354488,273.23,354488,271.93,354488
pk1,3,345.44,491368,350.21,491368,349.88,491368,353.84,491368
pk1,4,386.96,535391,382.45,535391,387.33,535391,392.53,535391
pk1,5,265.37,356430,275.5,356430,270.82,356430,271.42,356430
proteindesign121hz512p9,1,7200,12828,7200,12424,7200,12828,7200,12729
proteindesign121hz512p9,2,7200,13707,7200,13543,7200,14422,7200,13663
proteindesign121hz512p9,3,7200,16488,7200,16507,7200,17149,7200,16231
proteindesign121hz512p9,4,7200,14388,7200,14363,7200,14100,7200,14459
proteindesign121hz512p9,5,7200,12635,7200,12066,7200,12875,7200,12837
proteindesign122trx11p8,1,7200,7219,7200,7224,7200,7342,7200,7342
proteindesign122trx11p8,2,7200,10900,7200,11106,7200,10981,7200,10946
proteindesign122trx11p8,3,7200,11377,7200,11087,7200,11368,7200,11253
proteindesign122trx11p8,4,7200,12765,7200,12957,7200,12789,7200,12921
proteindesign122trx11p8,5,7200,10925,7200,11054,7200,10853,7200,11056
qap10,1,134.17,0,134.2,0,134.19,0,134.61,0
qap10,2,72.49,1,72.73,1,72.3,1,72.62,1
qap10,3,172.96,0,171.11,0,171.13,0,172.65,0
qap10,4,127.93,0,127.78,0,129.93,0,129.11,0
qap10,5,160.99,1,164.9,0,160.09,1,163.87,0
radiationm18-12-05,1,2063.36,73965,2089.24,73965,2068.21,73965,2064.16,73965
radiationm18-12-05,2,1433.72,64011,1401.92,64011,1429.99,64011,1435.62,64011
radiationm18-12-05,3,1489.65,70406,1405.21,70406,1429.26,70406,1521.07,70406
radiationm18-12-05,4,1018.52,32003,1037.18,32003,1013.77,32003,1009.68,32003
radiationm18-12-05,5,1402.3,47491,1404.85,47491,1403.5,47491,1417.35,47491
radiationm40-10-02,1,7200,95080,7200,94938,7200,95053,7200,94924
radiationm40-10-02,2,7200,107244,7200,105213,7200,105094,7200,104383
radiationm40-10-02,3,7200,90215,7200,88741,7200,89261,7200,89638
radiationm40-10-02,4,7200,87257,7200,87568,7200,88144,7200,87794
radiationm40-10-02,5,7200,92942,7200,90666,7200,92363,7200,94031
rail01,1,2034.68,1,1075.87,1,2110.12,1,1068.91,1
rail01,2,2891.75,98,1812.63,1,2843.01,98,1765.15,1
rail01,3,2878.95,1,2762.48,17,2815.93,1,2680.4,17
rail01,4,2682.48,9,2242.29,9,2622.72,9,2248.69,9
rail01,5,2009.5,1,3320.89,49,2212.74,1,3423.23,49
rail02,1,3300.6,19,3183.32,13,3339.29,19,3231.94,13
rail02,2,3978.74,39,3296.89,27,4142.34,39,3221.91,27
rail02,3,3882.85,33,3589.98,35,3850.38,33,3594.33,35
rail02,4,2736.03,19,2565.61,9,2729.2,19,2571.85,9
rail02,5,4248.09,39,3528.57,27,4130.53,39,3452.11,27
rail507,1,3896.67,12599,2750.72,14984,3844.6,12599,2737.03,14984
rail507,2,6591.27,13475,2924.05,11838,6699.75,13475,2954.06,11838
rail507,3,6049.62,11242,3529.7,15604,6028.48,11242,3527,15604
rail507,4,3459.54,8929,2854.76,14086,3507.69,8929,2865.34,14086
rail507,5,1389.14,8262,3864.81,11516,1362.38,8262,3780.94,11516
ran14x18-disj-8,1,778.63,59992,780.08,59992,774.18,59992,771.66,59992
ran14x18-disj-8,2,923.57,87376,923.59,87376,935.48,87376,936.14,87376
ran14x18-disj-8,3,743.59,60227,747.33,60227,744.15,60227,742.19,60227
ran14x18-disj-8,4,639.17,47855,640.17,47855,641.55,47855,641.57,47855
ran14x18-disj-8,5,1054.16,91165,1046.87,91165,1047.37,91165,1045.33,91165
rd-rplusc-21,1,7200,947694,7200,981251,7200,990310,7200,976269
rd-rplusc-21,2,7200,786213,7200,784707,7200,791746,7200,805807
rd-rplusc-21,3,7200,1045335,7200,1037153,7200,985592,7200,961500
rd-rplusc-21,4,7200,925234,7200,933456,7200,927838,7200,930964
rd-rplusc-21,5,7200,868068,7200,866056,7200,889839,7200,888153
reblock115,1,2484.48,226172,2006.92,184225,2494.72,226172,2076.26,184225
reblock115,2,2158.98,193305,2135.07,167621,2288.35,193305,2134.05,167621
